Radius,Volume,Ace2.fraction,Ace2.bud8.fraction
2.214527197,45.49164738,0.0000017,0
2.233437591,46.66702047,0.0000024,0
2.252509465,47.87276181,0.0000031,0
2.271744199,49.10965603,0,0
2.291143183,50.37850804,0.0000013,0.0000096
2.310707819,51.68014353,0.0000033,0.0000033
2.330439523,53.01540953,0.0000047,0
2.350339721,54.38517495,0,0
2.370409851,55.79033117,0.00000071,0
2.390651365,57.23179257,0.0000022,0
2.411065727,58.71049719,0.0000022,0
2.431654412,60.22740727,0.0000031,0.0000077
2.452418908,61.78350993,0.00000079,0
2.473360718,63.37981781,0.000004,0
2.494481355,65.01736968,0.0000041,0
2.515782347,66.69723117,0.0000017,0
2.537265232,68.42049544,0.0000026,0
2.558931566,70.1882839,0.0000036,0
2.580782913,72.00174692,0.00000092,0
2.602820855,73.86206459,0.00000094,0
2.625046984,75.77044752,0.0000048,0
2.647462908,77.72813756,0.000002,0
2.670070246,79.73640867,0.000001,0
2.692870635,81.79656772,0.0000042,0.00001
2.715865721,83.90995534,0.0000032,0.0000053
2.739057168,86.07794681,0.0000022,0.000011
2.762446653,88.30195293,0.0000023,0.0000056
2.786035866,90.58342096,0.0000081,0
2.809826513,92.92383556,0.0000012,0.000012
2.833820314,95.32471972,0.0000085,0
2.858019005,97.78763581,0.0000012,0
2.882424334,100.3141866,0.0000026,0
2.907038066,102.9060161,0.0000066,0.00002
2.931861981,105.564811,0.0000027,0
2.956897873,108.2923016,0,0
2.982147553,111.0902626,0.0000042,0.0000071
3.007612847,113.9605149,0.0000015,0.000014
3.033295594,116.9049263,0.0000045,0.0000074
3.059197653,119.9254127,0.0000031,0
3.085320896,123.0239398,0,0.000023
3.111667212,126.2025239,0.0000016,0
3.138238506,129.4632335,0,0.000025
3.165036698,132.8081904,0.0000034,0.000034
3.192063727,136.2395714,0.0000052,0
3.219321547,139.7596094,0.0000018,0
3.246812127,143.370595,0.0000091,0.000027
3.274537456,147.0748781,0.0000075,0.0000093
3.302499539,150.8748691,0,0.000019
3.330700397,154.773041,0.0000099,0.0000098
3.359142069,158.7719304,0,0.00005
3.387826612,162.8741396,0.0000083,0.00001
3.416756098,167.0823381,0.0000043,0
3.445932621,171.3992643,0,0
3.47535829,175.8277274,0.0000022,0
3.505035231,180.3706093,0.0000023,0
3.534965591,185.0308661,0.0000071,0.000059
3.565151534,189.8115305,0.0000024,0.000012
3.595595242,194.7157136,0,0.000062
3.626298916,199.7466065,0.0000051,0.000076
3.657264777,204.9074833,0.0000078,0.000078
3.688495063,210.2017023,0.000008,0.00004
3.719992032,215.6327086,0,0
