Time (hours),Strictly_aerobic_line_01,Strictly_aerobic_line_02,Strictly_aerobic_line_03,Strictly_aerobic_line_04,Strictly_aerobic_line_05,Strictly_aerobic_supplemental_O2_line_01,Strictly_aerobic_supplemental_O2_line_02,Strictly_aerobic_supplemental_O2_line_03,Strictly_aerobic_supplemental_O2_line_04,Strictly_aerobic_supplemental_O2_line_05,Average (no supplemental O2),Average (supplemental O2)
0.01888888889,98.4398118,102.033242,97.4388192,97.9904762,101.060501,99.6636358,100.307631,100.610009,100.578035,100.431086,99.39257004,100.3180794
0.01916666667,98.1460413,101.959017,97.8840115,94.4238095,101.532093,99.6103216,100.307631,100.649081,100.568069,100.416332,98.78899446,100.3102869
0.01944444444,98.2208193,101.905999,98.9492931,90.5333333,101.485516,99.6539423,100.307631,100.595357,100.637831,100.416332,98.21899214,100.3222187
0.01972222222,97.9377313,101.948413,98.6471983,100.266667,101.625247,99.6345554,100.278632,100.600241,100.513255,100.416332,100.0850513,100.2886031
0.02,97.4196271,102.006733,98.7319969,95.7047619,101.718401,99.736337,100.312465,100.556285,100.53817,100.376985,99.11630398,100.3040484
0.02027777778,97.4837225,102.091562,98.2179057,94.7238095,102.178349,99.7799577,100.370463,100.570937,100.548136,100.455678,98.93906974,100.3450343
0.02055555556,97.5958894,102.123373,99.2513879,95.9666667,102.31808,99.8671992,100.423627,100.546518,100.672713,100.416332,99.4510794,100.3852778
0.02083333333,98.2902559,102.118071,99.7018801,97.7571429,101.636891,99.8429654,100.423627,100.575821,100.687662,100.42125,99.90084818,100.3902651
0.02111111111,99.166226,102.091562,99.8979768,96.2190476,101.450583,99.8817394,100.404295,100.619777,100.657764,100.386822,99.76507908,100.3900795
0.02138888889,99.2196388,102.080959,99.8184781,97.6238095,101.235165,99.8284252,100.399462,100.614893,100.597967,100.436005,99.99561008,100.3753504
0.02166666667,99.4226075,102.165788,99.6117817,91.147619,101.095433,99.8914329,100.44296,100.634429,100.588001,100.362231,98.68864584,100.3838108
0.02194444444,98.55732,102.266522,99.0923907,92.7142857,101.211876,99.8623524,100.409128,100.653965,100.622882,100.386822,98.76847888,100.3870299
0.02222222222,98.5893677,102.298333,99.1347899,92.1571429,102.079373,99.8720459,100.404295,100.668617,100.592984,100.30813,98.8518013,100.3692144
0.0225,98.311621,102.298333,99.4474845,91.1142857,101.875599,99.8720459,100.409128,100.751645,100.632848,100.357312,98.60946464,100.4045958
0.02277777778,98.6374392,102.266522,100.491567,98.3380952,102.224926,99.8865862,100.486459,100.653965,100.568069,100.386822,100.3917099,100.3963802
0.02305555556,99.0433765,102.255918,101.032157,94.5666667,101.299208,99.9786743,100.45746,100.697921,100.632848,100.436005,99.63946524,100.4405817
0.02333333333,99.3424883,102.266522,100.528666,95.1380952,101.869777,99.9641341,100.428461,100.595357,100.612916,100.485187,99.8291097,100.417211
0.02361111111,99.3478296,102.255918,100.189472,92.2761905,101.287564,100.007755,100.35113,100.722341,100.637831,100.465514,99.07139482,100.4369142
0.02388888889,99.4332901,102.2029,99.2672876,98.8714286,102.120128,100.007755,100.399462,100.727225,100.662747,100.396659,100.3790069,100.4387696
0.02416666667,99.8232036,102.245315,100.147073,93.5285714,101.829022,100.041682,100.404295,100.722341,100.707594,100.347476,99.514637,100.4446776
0.02444444444,100.287895,102.330143,100.062274,93.2190476,103.121534,99.9641341,100.418794,100.751645,100.762408,100.337639,99.80417872,100.446924
0.02472222222,100.218458,102.462689,100.740662,92.1380952,102.533499,99.9399004,100.45746,100.702805,100.762408,100.376985,99.61868064,100.4479117
0.025,99.9727595,102.499801,100.724763,98.352381,102.929404,99.9980613,100.471959,100.712573,100.757425,100.39174,100.8958217,100.4663517
0.02527777778,99.3478296,102.46799,100.030475,90.852381,101.671824,100.051376,100.486459,100.649081,100.71756,100.376985,98.87409992,100.4562922
0.02555555556,99.0059876,102.388463,100.009275,96.8190476,101.369073,100.099843,100.404295,100.668617,100.73251,100.381904,99.91836924,100.4574338
0.02583333333,99.032694,102.399067,99.6647808,95.8428571,101.107078,100.085303,100.413961,100.693037,100.767391,100.376985,99.60929538,100.4673354
