Oxygen,Radius,Myoglobin,Metabolism
0.014,10,0.14,0.421651218
0.015,10,0.14,0.441075428
0.016,10,0.14,0.459635734
0.017,10,0.14,0.47733857
0.018,10,0.14,0.494192957
0.019,10,0.14,0.510211672
0.011,10,0.15,0.359798623
0.012,10,0.15,0.382048177
0.013,10,0.15,0.403413926
0.014,10,0.15,0.423907281
0.015,10,0.15,0.443534278
0.016,10,0.15,0.462299001
0.017,10,0.15,0.480206134
0.018,10,0.15,0.497262825
0.019,10,0.15,0.513479929
0.011,10,0.16,0.361321885
0.012,10,0.16,0.383745013
0.013,10,0.16,0.405289659
0.014,10,0.16,0.425966364
0.015,10,0.16,0.44578003
0.016,10,0.16,0.464733364
0.017,10,0.16,0.482829478
0.018,10,0.16,0.500073804
0.019,10,0.16,0.516475427
0.011,10,0.17,0.362715807
0.012,10,0.17,0.385298371
0.013,10,0.17,0.407007586
0.014,10,0.17,0.427853245
0.015,10,0.17,0.447839254
0.016,10,0.17,0.466967095
0.017,10,0.17,0.485238458
0.018,10,0.17,0.50265721
0.019,10,0.17,0.519230795
0.011,10,0.18,0.363996297
0.012,10,0.18,0.386725798
0.013,10,0.18,0.408586882
0.014,10,0.18,0.429588696
0.015,10,0.18,0.449734268
0.016,10,0.18,0.469023985
0.017,10,0.18,0.487458252
0.018,10,0.18,0.505039503
0.019,10,0.18,0.521773664
0.011,10,0.19,0.365176738
0.012,10,0.19,0.388042077
0.013,10,0.19,0.410043723
0.014,10,0.19,0.431190264
0.015,10,0.19,0.451483955
0.016,10,0.19,0.470924201
0.017,10,0.19,0.48951024
0.018,10,0.19,0.507243195
0.019,10,0.19,0.524127585
0.011,10,0.2,0.366268474
0.012,10,0.2,0.389259749
0.013,10,0.2,0.41139185
0.014,10,0.2,0.432672879
0.015,10,0.2,0.453104405
0.016,10,0.2,0.472684953
0.017,10,0.2,0.4914127
0.018,10,0.2,0.509287563
0.019,10,0.2,0.526312761
0.011,15,0,0.188350152
0.012,15,0,0.198587114
0.013,15,0,0.208400124
0.014,15,0,0.217830044
0.015,15,0,0.226911698
0.016,15,0,0.235675187
0.017,15,0,0.244146782
0.018,15,0,0.252349549
0.019,15,0,0.260303823
0.011,15,0.01,0.201472666
0.012,15,0.01,0.212676876
0.013,15,0.01,0.223382993
0.014,15,0.01,0.233627536
0.015,15,0.01,0.243442863
0.016,15,0.01,0.252858411
0.017,15,0.01,0.261901415
0.018,15,0.01,0.270597298
0.019,15,0.01,0.278969875
0.011,15,0.02,0.210717854
0.012,15,0.02,0.222723763
0.013,15,0.02,0.234199648
0.014,15,0.02,0.245176232
0.015,15,0.02,0.255680891
0.016,15,0.02,0.265739072
0.017,15,0.02,0.275375108
0.018,15,0.02,0.284612626
0.019,15,0.02,0.293474706
0.011,15,0.03,0.21772515
0.012,15,0.03,0.230395795
0.013,15,0.03,0.24252447
0.014,15,0.03,0.254136821
0.015,15,0.03,0.265255327
0.016,15,0.03,0.275900937
0.017,15,0.03,0.286094057
0.018,15,0.03,0.295855096
0.019,15,0.03,0.305204688
0.011,15,0.04,0.223284114
0.012,15,0.04,0.236513019
0.013,15,0.04,0.24919825
0.014,15,0.04,0.261361422
0.015,15,0.04,0.273020846
0.016,15,0.04,0.284193333
0.017,15,0.04,0.294895366
0.018,15,0.04,0.305143798
0.019,15,0.04,0.3149562
0.011,15,0.05,0.227835674
0.012,15,0.05,0.241539825
0.013,15,0.05,0.254704018
0.014,15,0.05,0.2673468
0.015,15,0.05,0.279483112
0.016,15,0.05,0.291126235
0.017,15,0.05,0.302289101
0.018,15,0.05,0.312985135
0.019,15,0.05,0.323228748
0.011,15,0.06,0.231650539
0.012,15,0.06,0.245764279
0.013,15,0.06,0.259344647
0.014,15,0.06,0.272407892
0.015,15,0.06,0.284966309
0.016,15,0.06,0.297030266
0.017,15,0.06,0.308609623
0.018,15,0.06,0.319714702
0.019,15,0.06,0.330356901
0.011,15,0.07,0.234906312
0.012,15,0.07,0.249376895
0.013,15,0.07,0.263322137
0.014,15,0.07,0.276756596
0.015,15,0.07,0.289690516
0.016,15,0.07,0.302131905
0.017,15,0.07,0.314088036
0.018,15,0.07,0.325566508
0.019,15,0.07,0.336575968
0.011,15,0.08,0.237725417
0.012,15,0.08,0.252509837
0.013,15,0.08,0.26677758
0.014,15,0.08,0.280541977
0.015,15,0.08,0.293811699
0.016,15,0.08,0.306592868
0.017,15,0.08,0.318890606
0.018,15,0.08,0.330710171
0.019,15,0.08,0.342057756
0.011,15,0.09,0.240195544
0.012,15,0.09,0.255258264
0.013,15,0.09,0.269813136
0.014,15,0.09,0.283872612
0.015,15,0.09,0.29744417
0.016,15,0.09,0.310532438
0.017,15,0.09,0.32314077
0.018,15,0.09,0.33527243
0.019,15,0.09,0.34693146
0.011,15,0.1,0.242381467
