Oxygen,Radius,Myoglobin,Metabolism,Advantage
0.08,50,0,0.182753584,0
0.09,50,0,0.194313193,0
0.1,50,0,0.205170041,0
0.11,50,0,0.2154284,0
0.12,50,0,0.22516562,0
0.13,50,0,0.234444209,0
0.14,50,0,0.243317728,0
0.15,50,0,0.251831191,0
0.16,50,0,0.260020783,0
0.17,50,0,0.267915492,0
0.18,50,0,0.275539885,0
0.19,50,0,0.282916169,0
0.2,50,0,0.290064692,0
0.21,50,0,0.297003455,0
0.22,50,0,0.303747716,0
0.23,50,0,0.310310243,0
0.24,50,0,0.316702099,0
0.25,50,0,0.322933467,0
0.001,55,0,0.009752167,0
0.002,55,0,0.016918377,0
0.003,55,0,0.022736542,0
0.004,55,0,0.027748129,0
0.005,55,0,0.03222697,0
0.006,55,0,0.03632618,0
0.007,55,0,0.040138046,0
0.008,55,0,0.043721645,0
0.009,55,0,0.047116797,0
0.01,55,0,0.050351624,0
0.02,55,0,0.07691822,0
0.03,55,0,0.097408383,0
0.04,55,0,0.11460092,0
0.05,55,0,0.129622975,0
0.06,55,0,0.143097796,0
0.07,55,0,0.155399343,0
0.08,55,0,0.166763186,0
0.09,55,0,0.17735936,0
0.1,55,0,0.187317286,0
0.11,55,0,0.196732102,0
0.12,55,0,0.205674127,0
0.13,55,0,0.214199784,0
0.14,55,0,0.222357444,0
0.15,55,0,0.230188071,0
0.16,55,0,0.237724804,0
0.17,55,0,0.244994117,0
0.18,55,0,0.252018204,0
0.19,55,0,0.258816995,0
0.2,55,0,0.265408829,0
0.21,55,0,0.271810115,0
0.22,55,0,0.278034896,0
0.23,55,0,0.284094912,0
0.24,55,0,0.290000216,0
0.25,55,0,0.295759922,0
0.001,60,0,0.008950055,0
0.002,60,0,0.015525966,0
0.003,60,0,0.020864477,0
0.004,60,0,0.025462814,0
0.005,60,0,0.029572436,0
0.006,60,0,0.033333947,0
0.007,60,0,0.036832086,0
0.008,60,0,0.040121087,0
0.009,60,0,0.043237494,0
0.01,60,0,0.046207106,0
0.02,60,0,0.070610248,0
0.03,60,0,0.089448908,0
0.04,60,0,0.105268613,0
0.05,60,0,0.119100867,0
0.06,60,0,0.131516019,0
0.07,60,0,0.142857157,0
0.08,60,0,0.153339913,0
0.09,60,0,0.163119518,0
0.1,60,0,0.172314511,0
0.11,60,0,0.181012366,0
0.12,60,0,0.189277578,0
0.13,60,0,0.197161583,0
0.14,60,0,0.204708451,0
0.15,60,0,0.211955732,0
0.16,60,0,0.218933985,0
0.17,60,0,0.225667592,0
0.18,60,0,0.232176825,0
0.19,60,0,0.238479757,0
0.2,60,0,0.244593053,0
0.21,60,0,0.250531761,0
0.22,60,0,0.256308869,0
0.23,60,0,0.261935256,0
0.24,60,0,0.267420163,0
0.25,60,0,0.272771857,0
0.001,65,0,0.008269843,0
0.002,65,0,0.014345282,0
0.003,65,0,0.019277182,0
0.004,65,0,0.023525207,0
0.005,65,0,0.027321824,0
0.006,65,0,0.030797015,0
0.007,65,0,0.034029112,0
0.008,65,0,0.037068242,0
0.009,65,0,0.039948172,0
0.01,65,0,0.042692729,0
0.02,65,0,0.065257887,0
0.03,65,0,0.08269096,0
0.04,65,0,0.097340323,0
0.05,65,0,0.110156825,0
0.06,65,0,0.121666154,0
0.07,65,0,0.13218524,0
0.08,65,0,0.141912915,0
0.09,65,0,0.150991962,0
0.1,65,0,0.159531693,0
0.11,65,0,0.167613054,0
0.12,65,0,0.17529563,0
0.13,65,0,0.182626686,0
0.14,65,0,0.18964668,0
0.15,65,0,0.196390253,0
0.16,65,0,0.202885749,0
0.17,65,0,0.209155781,0
0.18,65,0,0.215219024,0
0.19,65,0,0.22109202,0
0.2,65,0,0.226790027,0
0.21,65,0,0.232326921,0
0.22,65,0,0.237714773,0
0.23,65,0,0.242963728,0
0.24,65,0,0.24808235,0
0.25,65,0,0.253078224,0
0.001,70,0,0.007685709,0
0.002,70,0,0.013331455,0
0.003,70,0,0.017914286,0
